enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10002223,45,16700,019,003700,81.40,34663,96573,0.3589,105100,61755000,7,1,1,1,65.80,1,84,5,5.650,61755000,93805000,81,1,1,9,9,75,1,0,0,0,0,1,0,0
1,10002224,41,38900,051,002702,25.69,99722,110489,0.9026,116900,5815000,1,1,1,1,70.00,1,84,2,5.970,5815000,8305000,81,1,1,9,9,38,1,0,0,0,0,0,0,0
1,10002225,13,12060,089,021910,88.58,66219,98569,0.6718,106100,19905000,7,1,1,1,57.90,1,60,5,5.790,19905000,34405000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002226,48,19100,113,004300,72.21,72500,99957,0.7253,107300,41775000,7,5,1,1,50.50,2,60,5,6.160,41775000,82805000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002227,47,34980,037,010403,70.30,31250,96905,0.3225,104700,10915000,2,1,1,1,62.40,1,120,4,5.760,10915000,17505000,117,1,1,9,9,60,1,0,0,0,0,1,0,0
1,10002228,55,24580,009,020502,19.12,68155,93298,0.7305,96900,9295000,7,1,1,1,65.00,1,120,3,5.800,9295000,14305000,117,1,1,9,9,0,1,0,0,0,0,1,1,0
1,10002229,26,19820,125,160600,67.76,98056,93779,1.0456,97300,17635000,1,1,1,1,70.00,1,180,5,5.780,17635000,25195000,177,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002230,33,31700,011,012202,15.62,101000,118936,0.8492,126000,6125000,7,1,1,1,70.40,1,120,3,5.960,6125000,8705000,117,1,1,9,9,100,1,0,0,0,0,0,0,0
1,10002231,51,47900,059,451400,85.47,54450,144539,0.3767,152900,20715000,7,1,1,1,43.90,1,60,5,5.480,20715000,47205000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002232,21,31140,111,010004,33.95,67464,88819,0.7596,95900,36785000,2,1,1,1,65.00,1,120,5,5.480,56055000,54505000,117,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002233,53,48300,007,961301,16.99,103846,86553,1.1998,100300,16885000,1,1,1,1,65.00,1,84,3,5.915,16885000,25985000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002234,18,26900,095,012000,48.78,29325,93688,0.3130,101200,3585000,1,1,1,1,65.80,2,120,3,6.280,3585000,5405000,117,1,1,9,9,100,1,0,0,0,0,1,0,0
